"postCode","actUseTypTxt","count"
"825195","4-room","90"
"824684","4-room","76"
"824684","5-room","10"
"824677","4-room","39"
"824677","5-room","71"
"824676","4-room","46"
"824676","5-room","32"
"824672","4-room","128"
"824662","4-room","47"
"824662","5-room","75"
"824642","4-room","29"
"824642","5-room","63"
"824637","4-room","29"
"824637","5-room","63"
"824619","4-room","92"
"824618","4-room","88"
"824617","4-room","88"
"824613","4-room","96"
"824612","4-room","90"
"824601","2-room","15"
"824601","3-room","30"
"824601","4-room","45"
"824322","3-room","19"
"824322","4-room","76"
"824322","5-room","37"
"824316","4-room","64"
"824316","5-room","36"
"824306","3-room","14"
"824306","4-room","92"
"824306","5-room","2"
"824305","3-room","14"
"824305","4-room","92"
"824305","5-room","2"
"824303","4-room","51"
"824302","4-room","60"
"824301","4-room","59"
"824289","4-room","60"
"824289","5-room","60"
"824274","4-room","92"
"824273","4-room","89"
"824272","4-room","88"
"824271","4-room","88"
"824268","4-room","72"
"824268","5-room","17"
"824266","4-room","32"
"824266","5-room","32"
"824265","4-room","32"
"824265","5-room","32"
"824256","3-room","64"
"824256","4-room","64"
"824217","4-room","30"
"824217","5-room","60"
"824211","Studio Apartment","26"
"824211","2-room","2"
"824211","3-room","69"
"824211","4-room","15"
"824207","4-room","39"
"824207","5-room","42"
"824204","4-room","27"
"824204","5-room","54"
"824201","4-room","30"
"824201","5-room","82"
"824199","4-room","36"
"824199","5-room","40"
"824196","4-room","36"
"824196","5-room","40"
"824195","4-room","90"
"824176","4-room","64"
"824176","5-room","96"
"824175","5-room","90"
"824174","4-room","32"
"824174","5-room","76"
"824173","5-room","90"
"824168","4-room","64"
"824167","4-room","68"
"824128","5-room","92"
"824126","5-room","92"
"824110","5-room","86"
"824109","5-room","91"
"824107","5-room","91"
"824106","5-room","86"
"824105","4-room","28"
"824105","5-room","57"
"824102","4-room","26"
"824102","5-room","56"
"824101","4-room","28"
"824101","5-room","57"
"823684","3-room","32"
"823684","4-room","62"
"823684","5-room","48"
"823683","4-room","40"
"823683","5-room","40"
"823682","3-room","32"
"823682","4-room","32"
"823682","5-room","32"
"823679","4-room","33"
"823679","5-room","33"
"823678","4-room","27"
"823678","5-room","59"
"823677","4-room","32"
"823677","5-room","64"
"823676","4-room","32"
"823676","5-room","30"
"823673","4-room","124"
"823672","2-room","64"
"823672","3-room","32"
"823670","3-room","96"
"823670","4-room","32"
"823665","3-room","32"
"823665","4-room","96"
"823665","5-room","32"
"823663","4-room","58"
"823663","5-room","34"
"823662","4-room","23"
"823662","5-room","62"
"823661","4-room","46"
"823661","5-room","76"
"823659","2-room","70"
"823659","3-room","12"
"823659","4-room","40"
"823658","4-room","34"
"823658","5-room","60"
"823642","4-room","30"
"823642","5-room","58"
"823641","4-room","15"
"823641","5-room","61"
"823638","4-room","15"
"823638","5-room","61"
"823637","4-room","30"
"823637","5-room","58"
"823635","4-room","51"
"823632","4-room","51"
"823624","2-room","51"
"823624","3-room","34"
"823624","4-room","50"
"823623","2-room","34"
"823623","3-room","49"
"823623","4-room","51"
"823622","2-room","49"
"823622","3-room","33"
"823622","4-room","50"
"823619","4-room","92"
"823618","4-room","15"
"823618","5-room","46"
"823617","4-room","15"
"823617","5-room","46"
"823615","4-room","112"
"823613","3-room","32"
"823613","4-room","64"
"823612","4-room","90"
"823604","3-room","26"
"823604","4-room","52"
"823603","3-room","26"
"823603","4-room","52"
"823602","2-room","15"
"823602","3-room","30"
"823602","4-room","44"
"823601","2-room","15"
"823601","3-room","30"
"823601","4-room","45"
"823327","2-room","72"
"823327","3-room","72"
"823326","2-room","38"
"823326","3-room","76"
"823322","3-room","57"
"823322","4-room","32"
"823322","5-room","27"
"823316","4-room","48"
"823316","5-room","28"
"823313","4-room","59"
"823313","5-room","40"
"823312","4-room","71"
"823312","5-room","43"
"823310","3-room","52"
"823310","4-room","132"
"823310","5-room","78"
"823308","3-room","76"
"823308","4-room","174"
"823308","5-room","84"
"823306","3-room","14"
"823306","4-room","96"
"823306","5-room","2"
"823303","4-room","51"
"823302","4-room","60"
"823301","4-room","59"
"823289","4-room","30"
"823289","5-room","60"
"823288","3-room","30"
"823288","4-room","90"
"823274","4-room","47"
"823274","5-room","46"
"823273","4-room","45"
"823273","5-room","44"
"823272","4-room","57"
"823272","5-room","32"
"823271","4-room","88"
"823271","5-room","30"
"823270","4-room","13"
"823270","5-room","45"
"823269","4-room","72"
"823269","5-room","17"
"823268","4-room","87"
"823268","5-room","2"
"823267","4-room","13"
"823267","5-room","45"
"823266","3-room","48"
"823266","4-room","64"
"823265","4-room","32"
"823265","5-room","32"
"823261","4-room","64"
"823260","4-room","64"
"823259","4-room","64"
"823259","5-room","64"
"823258","4-room","32"
"823258","5-room","64"
"823256","2-room","32"
"823256","3-room","48"
"823256","4-room","62"
"823233","4-room","48"
"823233","5-room","48"
"823232","2-room","128"
"823232","3-room","32"
"823232","4-room","32"
"823226","4-room","30"
"823226","5-room","69"
"823224","2-room","32"
"823224","3-room","48"
"823224","4-room","78"
"823220","3-room","60"
"823220","4-room","60"
"823217","4-room","80"
"823217","5-room","48"
"823213","4-room","45"
"823213","5-room","60"
"823211","Studio Apartment","28"
"823211","2-room","1"
"823211","3-room","30"
"823211","4-room","60"
"823210","2-room","120"
"823210","3-room","60"
"823209","2-room","120"
"823209","3-room","60"
"823208","3-room","57"
"823208","4-room","24"
"823207","3-room","57"
"823207","4-room","30"
"823204","4-room","27"
"823204","5-room","54"
"823201","4-room","26"
"823201","5-room","52"
"823199","5-room","91"
"823196","5-room","91"
"823195","4-room","90"
"823176","4-room","25"
"823176","5-room","60"
"823175","4-room","24"
"823175","5-room","58"
"823174","4-room","25"
"823174","5-room","60"
"823173","4-room","24"
"823173","5-room","58"
"823172","4-room","29"
"823172","5-room","97"
"823171","4-room","34"
"823171","5-room","102"
"823170","4-room","33"
"823170","5-room","29"
"823169","4-room","64"
"823168","4-room","51"
"823168","5-room","16"
"823167","4-room","68"
"823128","4-room","48"
"823128","5-room","70"
"823126","4-room","48"
"823126","5-room","70"
"823110","4-room","38"
"823110","5-room","44"
"823109","4-room","27"
"823109","5-room","58"
"823107","4-room","27"
"823107","5-room","58"
"823106","4-room","38"
"823106","5-room","44"
"823105","4-room","28"
"823105","5-room","57"
"823103","5-room","90"
"823102","5-room","92"
"823101","5-room","86"
"822684","4-room","32"
"822684","5-room","83"
"822683","3-room","32"
"822683","4-room","44"
"822682","4-room","48"
"822682","5-room","32"
"822679","4-room","26"
"822679","5-room","26"
"822678","4-room","78"
