year,level_1,level_2,level_3,value
2000,Residents,Total HDB Dwellings,HDB 1- And 2-Room Flats,105825
2000,Residents,Total HDB Dwellings,HDB 3-Room Flats,710485
2000,Residents,Total HDB Dwellings,HDB 4-Room Flats,1127389
2000,Residents,Total HDB Dwellings,HDB 5-Room And Executive Flats,821882
2000,0-4 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4569
2000,0-4 Years,Total HDB Dwellings,HDB 3-Room Flats,36567
2000,0-4 Years,Total HDB Dwellings,HDB 4-Room Flats,83741
2000,0-4 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,72228
2000,5-9 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,5819
2000,5-9 Years,Total HDB Dwellings,HDB 3-Room Flats,44318
2000,5-9 Years,Total HDB Dwellings,HDB 4-Room Flats,93349
2000,5-9 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,73317
2000,10-14 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4418
2000,10-14 Years,Total HDB Dwellings,HDB 3-Room Flats,39875
2000,10-14 Years,Total HDB Dwellings,HDB 4-Room Flats,84698
2000,10-14 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,66600
2000,15-19 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,5458
2000,15-19 Years,Total HDB Dwellings,HDB 3-Room Flats,43898
2000,15-19 Years,Total HDB Dwellings,HDB 4-Room Flats,77232
2000,15-19 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,52540
2000,20-24 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,5982
2000,20-24 Years,Total HDB Dwellings,HDB 3-Room Flats,52895
2000,20-24 Years,Total HDB Dwellings,HDB 4-Room Flats,75437
2000,20-24 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,47144
2000,25-29 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,7009
2000,25-29 Years,Total HDB Dwellings,HDB 3-Room Flats,65724
2000,25-29 Years,Total HDB Dwellings,HDB 4-Room Flats,97638
2000,25-29 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,63225
2000,30-34 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,6203
2000,30-34 Years,Total HDB Dwellings,HDB 3-Room Flats,58334
2000,30-34 Years,Total HDB Dwellings,HDB 4-Room Flats,107258
2000,30-34 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,82896
2000,35-39 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,6882
2000,35-39 Years,Total HDB Dwellings,HDB 3-Room Flats,62269
2000,35-39 Years,Total HDB Dwellings,HDB 4-Room Flats,114584
2000,35-39 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,90443
